Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Rumba;ESA;European Space Agency (and 250 international scientific investigators);ESA;Government;Space Science;8/9/2000;Dornier Systems (Astrium) and 35 subcontractors;International;Baikonur Cosmodrome;Soyuz
Salsa;ESA;European Space Agency (and 250 international scientific investigators);ESA;Government;Space Science;7/16/2000;Dornier Systems (Astrium) and 35 subcontractors;International;Baikonur Cosmodrome;Soyuz
Samba;ESA;European Space Agency (and 250 international scientific investigators);ESA;Government;Space Science;7/16/2000;Dornier Systems (Astrium) and 35 subcontractors;International;Baikonur Cosmodrome;Soyuz
SAMSAT 218D;NR;Samara State Aerospace University;Russia;Civil;Technology Development;4/27/2016;Samara State Aerospace University;Russia;Vostochny Cosmodrome;Soyuz 2.1a
Sapphire;Canada;Department of National Defense;Canada;Military;Space Observation;2/25/2013;Surrey Satellite Technology Ltd/MacDonald, Dettwiler and Associates;UK/Canada;Satish Dhawan Space Center;PSLV
SARAL;NR;Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES);India/France;Government;Earth Observation;2/25/2013;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV
SAR-Lupe 1;Germany;Armed Forces;Germany;Military;Earth Observation;12/19/2006;OHB System-AG;Germany;Plesetsk Cosmodrome;Kosmos 3M
SAR-Lupe 2;Germany;Armed Forces;Germany;Military;Earth Observation;7/2/2007;OHB-System AG ;Germany;Plesetsk Cosmodrome;Kosmos 3M
SAR-Lupe 3;Germany;Armed Forces;Germany;Military;Earth Observation;11/1/2007;OHB-System AG ;Germany;Plesetsk Cosmodrome;Kosmos 3M
SAR-Lupe 4;Germany;Armed Forces;Germany;Military;Earth Observation;3/27/2008;OHB-System AG ;Germany;Plesetsk Cosmodrome;Kosmos 3M
SAR-Lupe 5;Germany;Armed Forces;Germany;Military;Earth Observation;7/22/2008;OHB-System AG ;Germany;Plesetsk Cosmodrome;Kosmos 3M
Sathyabamasat;NR;Sathyabama University/IRSO;India;Civil;Earth Science;6/22/2016;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV XL
Saudicomsat-1;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Technology Development;6/29/2004;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr 1
Saudicomsat-2 ;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Technology Development;6/29/2004;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr 1
Saudicomsat-3;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Communications;4/17/2007;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr 
Saudicomsat-4;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Communications;4/17/2007;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudicomsat-5;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Communications;4/17/2007;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudicomsat-6;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Communications;4/17/2007;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudicomsat-7;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Commercial;Communications;4/17/2007;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudisat 1C;Saudi Arabia;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Government;Communications;12/20/2002;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudisat-2 ;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Government;Earth Observation;6/29/2004;Riyadh Space Research Institute;Saudi Arabia;Baikonur Cosmodrome;Dnepr 1
Saudisat-3;Saudi Arabia;Riyadh Space Research Institute;Saudi Arabia;Government;Earth Observation;4/17/2007;King Abdulaziz City for Science and Technology;Saudi Arabia;Baikonur Cosmodrome;Dnepr
Saudisat-4;Saudi Arabia;Space Research Institute, King Abdulaziz City for Science and Technology;Saudi Arabia;Government;Space Science;6/19/2014;King Abdulaziz City for Science and Technology/Stanford University;Saudi Arabia;Dombarovsky Air Base;Dnepr
USA 230;USA;US Air Force;USA;Military;Earth Observation;5/7/2011;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
USA 241;USA;US Air Force;USA;Military;Earth Observation;3/19/2013;Lockheed Martin Space Systems;USA;Cape Canaveral;Atlas 5
USA 216;USA;Strategic Space Command/Space Surveillance Network;USA;Military;Space Observation;9/26/2010;Boeing/Ball Aerospace;USA;Vandenberg AFB;Minotaur 4
USA 181;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;2/3/2005;Lockheed Martin;USA;Cape Canaveral;Atlas 3B
USA 181;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;2/3/2005;Lockheed Martin;USA;Cape Canaveral;Atlas 3B
USA 194;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;6/15/2007;Lockheed Martin;USA;Cape Canaveral;Atlas 5
USA 194;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;6/15/2007;Lockheed Martin;USA;Cape Canaveral;Atlas 5
USA 229;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;4/15/2011;Lockheed Martin;USA;Vandenberg AFB;Atlas 5
USA 229;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;4/15/2011;Lockheed Martin;USA;Vandenberg AFB;Atlas 5
USA 238;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;9/13/2012;National Reconnaissance Laboratory (NRL);USA;Vandenberg AFB;Atlas 5
USA 238;USA;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;9/13/2012;National Reconnaissance Laboratory (NRL);USA;Vandenberg AFB;Atlas 5
USA 264;NR;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;10/8/2015;National Reconnaissance Laboratory (NRL);USA;Vandenberg AFB;Atlas 5
USA 264;NR;National Reconnaissance Office/US Navy;USA;Military;Earth Observation;10/8/2015;National Reconnaissance Laboratory (NRL);USA;Vandenberg AFB;Atlas 5
SCD-1;Brazil;Instituto Nacional de Pesquisas Espaciais (INPE);Brazil;Government;Earth Observation;2/9/1993;Instituto Nacional de Pesquisas Espaciais (INPE);Brazil;Cape Canaveral;Pegasus
SCD-2;NR;Instituto Nacional de Pesquisas Espaciais (INPE);Brazil;Government;Earth Observation;10/23/1998;Instituto Nacional de Pesquisas Espaciais (INPE);Brazil;Cape Canaveral;Pegasus
Scisat-1;Canada;Canadian Space Agency;Canada;Government;Space Science;8/12/2003;Bristol Aerospace Ltd.;Canada;Vandenberg AFB;Pegasus XL
S-Cube;NR;Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University;Japan;Civil;Technology Development;9/17/2015;Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology and Tohoku University;Japan;International Space Station;Cubesat Deployer
SDO;USA;National Aeronautics and Space Administration (NASA);USA;Government;Space Science;2/11/2010;Goddard Space Flight Center;USA;Cape Canaveral;Atlas 5
USA 179;USA;National Reconnaissance Office (NRO)/US Air Force;USA;Military;Communications;8/31/2004;Hughes;USA;Cape Canaveral;Atlas 2AS
USA 198;USA;National Reconnaissance Office (NRO)/US Air Force;USA;Military;Communications;12/10/2007;National Reconnaissance Laboratory;USA;Cape Canaveral;Atlas 5
USA 227;USA;National Reconnaissance Office (NRO)/US Air Force;USA;Military;Communications;3/2/2011;National Reconnaissance Laboratory;USA;Cape Canaveral;Delta 4
USA 236;USA;National Reconnaissance Office (NRO)/US Air Force;USA;Military;Communications;6/20/2012;National Reconnaissance Laboratory;USA;Cape Canaveral;Atlas 5
USA 252;USA;National Reconnaissance Office (NRO)/US Air Force;USA;Military;Communications;5/22/2014;National Reconnaissance Laboratory;USA;Cape Canaveral;Atlas 5
SDS-4;Japan;Japan Aerospace Exploration Agency (JAXA);Japan;Government;Technology Development;5/17/2012;Japan Aerospace Exploration Agency (JAXA);Japan;Tanegashima Space Center;H-2A
SEEDS 2;Japan;Nihon University;Japan;Civil;Technology Development;4/28/2008;Nihon University;Japan;Satish Dhawan Space Center;PSLV C9
Sentinel 1A;ESA;EUMETSAT;ESA;Government;Earth Observation;4/3/2014;Thales Alenia Space Italia;Italy;Guiana Space Center;Soyuz
Sentinel 1B;NR;EUMETSAT;ESA;Government;Earth Observation;4/25/2016;Thales Alenia Space;France;Guiana Space Center;Soyuz 2.1a
Sentinel 2A;NR;EUMETSAT;ESA;Government;Earth Observation;6/23/2015;Airbus Defense and Space;France/UK/Germany;Guiana Space Center;Vega
Sentinel 3A;NR;EUMETSAT;ESA;Government;Earth Observation;2/16/2016;Thales Alenia Space;France;Plesetsk Cosmodrome;Rokot
SES-1;USA;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;4/24/2010;Orbital Sciences Corp.;USA;Baikonur Cosmodrome;Proton M
SES-2;USA;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;9/21/2011;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
SES-3;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;7/15/2011;Orbital Sciences Corp.;USA;Baikonur Cosmodrome;Proton M
SES-4;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;2/14/2012;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
SES-5;United Kingdom;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;7/9/2012;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
SES-6;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;6/3/2013;EADS Astrium;France/UK/Germany;Baikonur Cosmodrome;Proton M
SES-7;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;5/16/2009;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Breeze M
SES-8;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;12/3/2013;Orbital Sciences Corp.;USA;Cape Canaveral;Falcon 9
SES-9;NR;SES World Skies (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);USA;Commercial;Communications;3/4/2016;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9
Shijian 11 01;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;11/12/2009;Chinese Academy of Space Technology (CAST)/ DFH Satellite;China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 02;China;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;7/29/2011;Chinese Academy of Space Technology (CAST/DFH Satellite;China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 03;NR;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;7/6/2011;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 05;China;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;7/15/2013;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 06;China;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;3/31/2014;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 07;NR;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;9/28/2014;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 11 08;NR;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;10/27/2014;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2C
Shijian 12;China;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;6/15/2010;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2D
Shijian 15;NR;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;7/19/2013;Chinese Academy of Space Technology (CAST);China;Taiyuan Launch Center;Long March 3C
Shijian 16 01;China;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;10/25/2013;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 4B
Shijian 16 02;NR;Chinese Academy of Space Technology (CAST);China;Government;Technology Development;6/29/2016;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 4B
Shijian 6A;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;9/8/2004;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 4B
Shijian 6B;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;9/8/2004;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 4B
Shijian 6C;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;10/23/2006;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 4B
Shijian 6D;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;10/23/2006;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 4B
Shijian 6E;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;10/25/2008;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 4B
Shijian 6F;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;10/25/2008;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 4B
Shijian 6G;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;10/6/2010;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 4B
Shijian 6H;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;10/6/2010;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 4B
Shijian 7;China;Chinese Academy of Space Technology (CAST);China;Government;Space Science;7/5/2005;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Jiuquan Satellite Launch Center;Long March 2D
Shijian 9A;China;Shanghai Academy of Space Technology (CAST);China;Government;Technology Development;10/14/2012;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 2C
Shijian 9B;China;Shanghai Academy of Space Technology (CAST);China;Government;Technology Development;10/14/2012;Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.;China;Taiyuan Launch Center;Long March 2C
Shiyan 1;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;4/18/2004;Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS);China;Xichang Satellite Launch Center;Long March 2C
Shiyan 3;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;11/5/2008;Harbin Institute of Technology;China;Jiuquan Satellite Launch Center;Long March 2D
Shiyan 4;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;11/20/2011;CAST/DFH Satellite/HIT;China;Jiuquan Satellite Launch Center;Long March 2D
Shiyan 5;China;Chinese Academy of Space Technology (CAST);China;Government;Earth Observation;11/25/2013;Chinese Academy of Space Technology (CAST);China;Jiuquan Satellite Launch Center;Long March 2D
Shiyan 7;NR;Chinese Academy of Space Technology (CAST);China;Military;Technology Development;7/19/2013;Chinese Academy of Space Technology (CAST);China;Taiyuan Launch Center;Long March 4C
Sicral 1A;Italy;Italian Defense Ministry;Italy;Military;Communications;2/7/2001;Alenia Spazio;Italy;Guiana Space Center;Ariane 44L
Sicral 1B;Italy;Italian Defense Ministry/Telespazio;Italy;Military/Commercial;Communications;4/20/2009;Thales Alenia Space Italia;Italy;Sea Launch (Odyssey);Zenit 3SL
Sicral 2/Syracuse 3C;NR;Italian Defense Ministry/French Defense Ministry;France/Italy;Military;Communications;4/26/2015;Thales Alenia Space;France/Italy;Guiana Space Center;Ariane 5
Sinah-1;NR;Iranian Research Organization for Science and Technology (IROST);Iran;Government;Communications;10/27/2005;Polyot;Russia;Plesetsk Cosmodrome;Kosmos 3M
SINOD D-1;NR;SRI International;USA;Commercial;Technology Demonstration;10/8/2015;SRI International;USA;Cape Canaveral;Atlas 5
SINOD D-3;NR;SRI International;USA;Commercial;Technology Demonstration;10/8/2015;SRI International;USA;Cape Canaveral;Atlas 5
Sinosat-6;China;China Direct Broadcast Satellite co.;China;Commercial;Communications;9/4/2010;Chinese Academy of Space Technology (CAST);China;Xichang Satellite Launch Center;Long March 3B
Sirius-1 (SD Radio 1);USA;Sirius XM Holdings;USA;Commercial;Communications;6/30/2000;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton K
Sirius 2 (SD Radio 2);USA;Sirius XM Holdings;USA;Commercial;Communications;9/5/2000;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton K
Sirius 3 (SD Radio 3);USA;Sirius XM Holdings;USA;Commercial;Communications;11/30/2000;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton K
Sirius 4;Sweden;SES Sirius AB;Sweden;Commercial;Communications;11/17/2007;Lockheed Martin Commercial Space Systems;USA;Baikonur Cosmodrome;Proton M
Sirius FM-5;USA;Sirius XM Holdings;USA;Commercial;Communications;6/30/2009;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
Sirius FM-6;USA;Sirius XM Holdings;USA;Commercial;Communications;10/25/2013;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
Sirius XM-5;USA;Sirius XM Holdings;USA;Commercial;Communications;10/14/2010;Space Systems/Loral;USA;Baikonur Cosmodrome;Proton M
Sky Mexico-1;NR;Sky Mexico;Mexico;Commercial;Communications;5/27/2015;Orbital ATK;USA;Guiana Space Center;Ariane 5 ECA
Skynet 4C;United Kingdom;Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium);United Kingdom;Military;Communications;8/30/1990;Astrium;France/UK/Germany;Guiana Space Center;Ariane 44LP
Skynet 4E;United Kingdom;Ministry of Defence;United Kingdom;Military;Communications;2/26/1999;Astrium;France/UK/Germany;Guiana Space Center;Ariane 44L
Skynet 4F;United Kingdom;Ministry of Defence;United Kingdom;Military;Communications;2/7/2001;Astrium;France/UK/Germany;Guiana Space Center;Ariane 44L
Skynet 5A;United Kingdom;Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium);United Kingdom;Military;Communications;3/11/2007;EADS Astrium;France/UK/Germany;Guiana Space Center;Ariane 5 ECA
Skynet 5B;United Kingdom;Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium);United Kingdom;Military;Communications;11/14/2007;EADS Astrium;France/UK/Germany;Guiana Space Center;Ariane 5
Skynet 5C;United Kingdom;Ministry of Defence/Paradigm Secure Communications (wholly owned by EADS Astrium);United Kingdom;Military;Communications;6/12/2008;EADS Astrium;United Kingdom;Guiana Space Center;Ariane 5 ECA
Skynet 5D;United Kingdom;Ministry of Defense/Paradigm Secure Communications (wholly owned by EADS Astrium);United Kingdom;Military;Communications;12/19/2012;EADS Astrium;United Kingdom;Guiana Space Center;Ariane 5 ECA
SkySat-1;USA;Terra Bella;USA;Commercial;Earth Observation;11/21/2013;Skybox Imaging;USA;Dombarovsky Air Base;Dnepr
SkySat-2;NR;Terra Bella;USA;Commercial;Earth Observation;7/8/2014;Skybox Imaging;USA;Baikonur Cosmodrome;Soyuz-2.1b
SkySat-3;NR;Terra Bella;USA;Commercial;Earth Observation;6/22/2016;Space Systems/Loral;USA;Satish Dhawan Space Center;PSLV XL
SkyTerra 1;USA;LightSquared;USA;Commercial;Communications;11/14/2010;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Breeze M
USA 119;USA;National Reconnaissance Office (NRO);USA;Military;Communications;5/12/1996;National Reconnaissance Laboratory;USA;Vandenberg AFB;Titan IV
SMAP;NR;National Aeronautics and Space Administration (NASA);USA;Government;Earth Observation;1/31/2015;Jet Propulsion Laboratory (NASA);USA;Vandenberg AFB;Delta 2
SMDC-ONE 1.1;USA;US Army Space and Missile Defense Command;USA;Military;Technology Development;9/13/2012;Miltec;USA;Vandenberg AFB;Atlas 5
SMDC-ONE 1.2;USA;US Army Space and Missile Defense Command;USA;Military;Technology Development;9/13/2012;Miltec;USA;Vandenberg AFB;Atlas 5
SMDC-ONE 2.3;NR;US Army Space and Missile Defense Command;USA;Military;Technology Development;12/6/2013;Miltec;USA;Vandenberg AFB;Atlas 5
SMDC-ONE 2.4;NR;US Army Space and Missile Defense Command;USA;Military;Technology Development;12/6/2013;Miltec;USA;Vandenberg AFB;Atlas 5
SMOS;ESA;Centre National d'Etudes Spatiales (CNES)/European Space Agency;ESA;Government;Earth Observation;11/2/2009;Thales Alenia Space;France;Plesetsk Cosmodrome;Breeze KM
SNaP-3 Alice;NR;US Army Space and Missile Defense Command;USA;Military;Technology Development;10/8/2015;US Army Space and Missile Defense Command;USA;Cape Canaveral;Atlas 5
SNaP-3 Eddie;NR;US Army Space and Missile Defense Command;USA;Military;Technology Development;;US Army Space and Missile Defense Command;USA;Cape Canaveral;Atlas 5
SNaP-3 Jimi;NR;US Army Space and Missile Defense Command;USA;Military;Technology Development;;US Army Space and Missile Defense Command;USA;Cape Canaveral;Atlas 5
SNaP-3-1;NR;US Southern Command;USA;Military;Communications;12/6/2013;Naval Post-Graduate School;USA;Vandenberg AFB;Atlas 5
SOCRATES;Japan;National Institute of Information and Communications Technology (JPN);Japan;Commercial;Technology Development;5/24/2014;Advanced Engineering Services Company, Ltd.;Japan;Tanegashima Space Center;H-2A
SOHLA 1;Japan;Astrotech SOHLA;Japan;Civil;Technology Development;1/23/2009;Space Oriented Higashiosaka Leading Association;Japan;Tanegashima Space Center;H-2A
SOlar Radiation and Climate Experiment (SORCE);USA;NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado;USA;Government/Civil;Space Science;1/25/2003;Orbital Sciences Corp.;USA;Cape Canaveral;Pegasus XL
Spaceway 3;USA;Hughes Network Systems;USA;Commercial;Communications;8/14/2007;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 5 ECA
Spaceway F1;USA;DirecTV, Inc.;USA;Commercial;Communications;4/26/2005;Boeing Satellite Systems;USA;Sea Launch (Odyssey);Zenit 3SL
Spaceway F2;USA;DirecTV, Inc.;USA;Commercial;Communications;11/16/2005;Boeing Satellite Systems;USA;Guiana Space Center;Ariane 5 ECA
Spainsat;NR;Hisdesat/Ministry of Defense;Spain;Military;Communications;3/11/2006;Space Systems/Loral;USA;Guiana Space Center;Ariane 5
Spektr-R/RadioAstron;Russia;Astro Space Center of Moscow/Russian Academy of Sciences;Multinational;Government;Space Science;7/18/2011;Lavochkin;Russia;Baikonur Cosmodrome;Zenit 3SLBF/Fregat SB
SpinSat;USA;US Naval Research Laboratory;USA;Military;Technology Development;11/28/2014;U.S. Naval Research Laboratory;USA;International Space Station;Cyclops Deployer System
SPIRALE-A;France;Ministry of Defense/General Delegation for Ordnance (DGA);France;Military;Technology Development;2/11/2009;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA
SPIRALE-B;France;Ministry of Defense/General Delegation for Ordnance (DGA);France;Military;Technology Development;2/11/2009;EADS Astrium;France;Guiana Space Center;Ariane 5 ECA
Spot 6;France;Spot Image;France/Belgium/Sweden;Commercial;Earth Observation;9/9/2012;EADS Astrium;France/UK/Germany;Satish Dhawan Space Center;PSLV
Spot 7;France;Spot Image;France/Belgium/Sweden;Commercial;Earth Observation;6/30/2014;Airbus Defense and Space;France/UK/Germany;Satish Dhawan Space Center;PSLV-CA
SPROUT;Japan;Nihon University;Japan;Civil;Technology Development;5/24/2014;Nihon University;Japan;Tanegashima Space Center;H-2A
SRMSat;India;SRM University;India;Civil;Technology Development;10/12/2011;SRM University;India;Satish Dhawan Space Center;PSLV
SSOT;Chile;Chilean Air Force;Chile;Government/Military;Earth Observation;12/17/2011;Astrium;France;Guiana Space Center;Soyuz 2/Fregat
ST-2;NR;Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.;Singapore/Taiwan;Commercial;Communications;5/20/2011;Mitsubishi Electric Corporation;Japan;Guiana Space Center;Ariane 5
Star 1 C1;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;11/14/2007;Thales Alenia Space;France;Guiana Space Center;Ariane 5
Star 1 C2;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;4/18/2008;Thales Alenia Space;France;Guiana Space Center;Ariane 5 ECA
Star 1 C3;Brazil;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;11/10/2012;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
Star 1 C4;NR;Star One (SES [SociÃ©tÃ© EuropÃ©enne des Satellites (SES)]);Brazil;Commercial;Communications;7/15/2015;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA
STARE-B;USA;National Reconaissance Office;USA;Military;Space Science;11/19/2013;Lawrence Livermore National Laboratory;USA;Wallops Island Flight Facility;Minotaur 1
USA 217;USA;USAF Space Test Program;USA;Military;Technology Development;11/20/2010;Ball Aerospace;USA;Kodiak Launch Complex;Minotaur 4
STPSat-3;USA;US Air Force;USA;Military;Technology Development;11/19/2013;Ball Aerospace;USA;Wallops Island Flight Facility;Minotaur 1
STRaND-1;United Kingdom;Surrey Satellite Technology Limited (SSTL);United Kingdom;Commercial;Technology Development;2/25/2013;Surrey Satellite Technology Limited (SSTL);UK;Satish Dhawan Space Center;PSLV
Cosmos 2385;Russia;Ministry of Defense;Russia;Military;Communications;12/27/2001;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Tsyklon 3
Cosmos 2386;Russia;Ministry of Defense;Russia;Military;Communications;12/27/2001;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Tsyklon 3
Cosmos 2390;Russia;Ministry of Defense;Russia;Military;Communications;7/8/2002;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Kosmos 3M
Cosmos 2391;Russia;Ministry of Defense;Russia;Military;Communications;7/8/2002;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Kosmos 3M
Cosmos 2400;Russia;Ministry of Defense;Russia;Military;Communications;8/19/2003;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Kosmos 3M
Cosmos 2401;Russia;Ministry of Defense;Russia;Military;Communications;8/19/2003;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Kosmos 3M
Cosmos 2408;Russia;Ministry of Defense;Russia;Military;Communications;9/23/2004;NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP);Russia;Plesetsk Cosmodrome;Kosmos 3M
