Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Globalstar M063;USA;Globalstar  ;USA;Commercial;Communications;2/8/2000;Space Systems/Loral;USA;Cape Canaveral;Delta 7420
Globalstar M065;USA;Globalstar;USA;Commercial;Communications;5/29/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat 
Globalstar M066;USA;Globalstar;USA;Commercial;Communications;10/20/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M067;USA;Globalstar;USA;Commercial;Communications;10/20/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M068;USA;Globalstar;USA;Commercial;Communications;10/20/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M069;USA;Globalstar;USA;Commercial;Communications;5/29/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat 
Globalstar M070;USA;Globalstar;USA;Commercial;Communications;10/20/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M071;USA;Globalstar;USA;Commercial;Communications;5/29/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M072;USA;Globalstar;USA;Commercial;Communications;5/29/2007;Space Systems/Loral/Alenia Aerospazio;USA/Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M073;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M074;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M075;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M076;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M077;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M078;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Globalstar M079;France;Globalstar;USA;Commercial;Communications;10/19/2010;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz-Fregat
Globalstar M080;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M081;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M082;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M083;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M084;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M085;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M086;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M088;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M089;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M090;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M091;France;Globalstar;USA;Commercial;Communications;7/13/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a
Globalstar M092;France;Globalstar;USA;Commercial;Communications;12/28/2011;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz 2.1a/Fregat
Globalstar M093;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Globalstar M094;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Globalstar M095;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Globalstar M096;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Globalstar M097;France;Globalstar;USA;Commercial;Communications;2/6/2013;Thales Alenia Space;Italy;Baikonur Cosmodrome;Soyuz.2.1a/Fregat
Cosmos 2471;Russia;Ministry of Defense;Russia;Military/Commercial;Navigation/Global Positioning;2/26/2011;ISS Reshetnev;Russia;Plesetsk Cosmodrome;Soyuz 2
